Date,Observer,Temperature (F),Wind (mph),StudyLocation,Treatment ,StartTime,PatchID,PointID,Species2min,SpeciesCode2min,Distance2min,Species5min,SpeciesCode5min,Distance5min
4/5/2024,BO,45,4,Garden City,Urban,8:19,GC 4,GC 4.2,Brown-headed Cowbird,BHCO,30.6,Grackle,NA,82
4/19/2024,JS/NB,43,4,Topeka,WMA,8:05,2,2.2,Tufted Titmouse,TUTI,30.7,NA,NA,NA
8/7/2024,"BO, RR",73,1,Garden City,Rural,9:08,Cn 5,CN 5.3,Scissor-Tail Flycatcher,STFL,30.7,Mourning Dove,MODO,36.9
8/7/2024,"BO, RR",73,1,Garden City,Rural,9:08,Cn 5,CN 5.3,House Sparrow,HOSP,30.7,Mourning Dove,MODO,100.7
4/4/2024,"ED, NB, JS",37,8,McPherson,Urban,8:28,MC5,MC5.1,American Robin,AMRO,30.8,Mourning Dove,MODO,21.2
4/4/2024,BO,44,2,Garden City,Urban,8:55,GC 12,GC 12.2,Eurasian Collared Dove,EUCD,30.9,Grackle,NA,64.3
8/26/2024,"BO, RR",69,2,Garden City,Urban,7:37,GC 20,GC 20.2,Western Kingbird,WEKI,30.9,Eurasian Collared Dove,EUCD,53.6
8/20/2024,ED,63,3,Topeka,WMA,6:17,14,14.1,Indigo Bunting,INBU,31,American Goldfinch,AGOL,70
8/15/2024,CL,79,5,McPherson,Urban,9:38,MC8,MC8.2,Red-winged Blackbird,RWBL,31,Mourning Dove,MODO,29
8/21/2024,GA & IW,71,11,McPherson,Rural,9:05,BB4,BB4.2,Lark Sparrow,LASP,31,Dickcissel,DICK,63
8/1/2024,IW,71,2,Garden City,Rural,8:03,CN 1,CN 1.1,Lark Sparrow,LASP,31,Eastern Kingbird,EAKI,47
8/15/2024,IW,70,1,Garden City,Urban,8:40,GC 13,GC 13.3,Eurasian Collared Dove,EUCD,31,Grackle ,NA,96
4/12/2024,JS/NB,50,9,Topeka,WMA,9:48,4,4.1,Swamp Sparrow,SWSP,31.2,Northern Cardinal,NOCA,92
4/25/2024,JS/NB,56,11,Topeka,WMA,9:38,6,6.1,Mourning Dove,MODO,31.3,NA,NA,NA
4/30/2024,JS/NB,62,10,Topeka,Urban,8:23,14,14.2,Chipping Sparrow,CHSP,31.3,NA,NA,NA
4/17/2024,BO,57,2,Garden City,WMA,9:54,BR 4,BR 4.1,White-crowned Sparrow,WCSP,31.4,White-crowned Sparrow,WCSP,212
5/3/2024,JS/NB,61,9,Topeka,Urban,10:24,7,7.1,Rose-breasted Grosbeak,RBGR,31.5,Blue Jay,BLJA,17.3
4/25/2024,JS/NB,55,11,Topeka,WMA,9:51,6,6.2,American Robin,AMRO,31.6,European Starling,EUST,36.2
4/5/2024,BO,48,4,Garden City,Urban,8:53,GC 3,GC 3.2,American Robin,AMRO,31.6,Eurasian Collared Dove,EUCD,15.5
7/10/2024,NB,63,4,Topeka,Urban,7:11,3,3.1,Mourning Dove,MODO,31.7,Mourning Dove,MODO,61.6
4/16/2024,ED,58,17,McPherson,Urban,8:16,MC12,MC12.1,Eastern Meadowlark,EAME,31.9,Mourning Dove,MODO,36.4
4/29/2024,JS/NB,56,4,Topeka,Urban,9:37,12,12.1,Common Grackle,COGR,32,European Starling,EUST,42.7
7/18/2024,"ED,GA",73,7,McPherson,Urban,9:22,MC25,MC25.2,Scissor-tailed Flycatcher,STFL,32,European Starling,EUST,232
8/7/2024,CL,64,6,McPherson,Urban,6:51,MC13,MC13.1,Eurasian Collared Dove,EUCD,32,NA,NA,NA
4/3/2024,BO,36,2,Garden City,Urban,8:49,GC 14,GC 14.1,Eurasian Collared Dove,EUCD,32,Eurasian Collared Dove,EUCD,77.6
8/2/2024,IW,68,1,Garden City,Urban,6:59,GC 16,GC 16.1,Eurasian Collared Dove,EUCD,32,House Sparrow,HOSP,38
8/14/2024,"RR, IW",73,1,Garden City,Urban,8:48,GC 18,GC 18.1,Eurasian Collared Dove,EUCD,32,House Finch,HOFI,50
8/15/2024,BO,71,2,Garden City,Urban,7:59,GC 6,GC 6.1,Eurasian Collared Dove,EUCD,32,NA,NA,NA
8/15/2024,BO,71,2,Garden City,Urban,7:59,GC 6,GC 6.1,Eurasian Collared Dove,EUCD,32,NA,NA,NA
4/23/2024,NB,57,7,Topeka,Urban,8:18,22,22.1,American Robin,AMRO,32.1,American Robin,AMRO,21.4
